,,Image name,version,,,,,,,,,,,
./docs/KustomizeBestPractices.md,        image, gcr.io/kubeflow-images-public/profile-controller,v20190228-v0.4.0-rc.1-192-g1a802656-dirty-f95773,docs,KustomizeBestPractices.md,,,,,,,,,
./docs/KustomizeBestPractices.md,        image, gcr.io/kubeflow-images-public/profile-controller,v20190228-v0.4.0-rc.1-192-g1a802656-dirty-f95773,docs,KustomizeBestPractices.md,,,,,,,,,
./contrib/experimental/mirror-images/mirror_task.yaml,    - image, gcr.io/kaniko-project/executor,v0.11.0,contrib,experimental,mirror-images,mirror_task.yaml,,,,,,,
./contrib/feast/feast/base/resources.yaml,        image, gcr.io/kf-feast/feast-core,develop,contrib,feast,feast,base,resources.yaml,,,,,,
./contrib/feast/feast/base/resources.yaml,        image, gcr.io/kf-feast/feast-jobservice,develop,contrib,feast,feast,base,resources.yaml,,,,,,
./contrib/feast/feast/base/resources.yaml,        image, gcr.io/kf-feast/feast-serving,develop,contrib,feast,feast,base,resources.yaml,,,,,,
./contrib/feast/feast/base/resources.yaml,        #   image, busybox,,contrib,feast,feast,base,resources.yaml,,,,,,
./contrib/feast/feast/base/resources.yaml,          image, docker.io/bitnami/postgresql,11.7.0-debian-10-r9,contrib,feast,feast,base,resources.yaml,,,,,,
./contrib/feast/feast/base/resources.yaml,        image, "docker.io/bitnami/redis,5.0.7-debian-10-r32",contrib,feast,feast,base,resources.yaml,,,,,,
./contrib/feast/feast/base/resources.yaml,        image, docker.io/bitnami/redis,5.0.7-debian-10-r32,contrib,feast,feast,base,resources.yaml,,,,,,
./contrib/modeldb/base/mysql-backend-deployment.yaml,        image, mysql,5.7,contrib,modeldb,base,mysql-backend-deployment.yaml,,,,,,,
./contrib/modeldb/base/proxy-deployment.yaml,        image, vertaaiofficial/modeldb-backend-proxy,kubeflow,contrib,modeldb,base,proxy-deployment.yaml,,,,,,,
./contrib/modeldb/base/webapp-deplyment.yaml,      - image, vertaaiofficial/modeldb-frontend,kubeflow,contrib,modeldb,base,webapp-deplyment.yaml,,,,,,,
./contrib/modeldb/base/artifact-store-deployment.yaml,        image, vertaaiofficial/modeldb-artifact-store,kubeflow,contrib,modeldb,base,artifact-store-deployment.yaml,,,,,,,
./contrib/modeldb/base/backend-deployment.yaml,        image, vertaaiofficial/modeldb-backend,kubeflow,contrib,modeldb,base,backend-deployment.yaml,,,,,,,
./contrib/flink/flink-operator/base/deployment.yaml,        image, gcr.io/kubebuilder/kube-rbac-proxy,v0.4.0,contrib,flink,flink-operator,base,deployment.yaml,,,,,,
./contrib/flink/flink-operator/base/deployment.yaml,        image, gcr.io/flink-operator/flink-operator,latest,contrib,flink,flink-operator,base,deployment.yaml,,,,,,
./contrib/flink/flink-operator/base/setup-job.yaml,        image, gcr.io/flink-operator/deployer,webhook-cert,contrib,flink,flink-operator,base,setup-job.yaml,,,,,,
./contrib/basic-auth/base/gatekeeper-deployment.yaml,        image, gcr.io/kubeflow-images-public/gatekeeper,v0.5.0,contrib,basic-auth,base,gatekeeper-deployment.yaml,,,,,,,
./contrib/basic-auth/base/kflogin-deployment.yaml,        image, gcr.io/kubeflow-images-public/kflogin-ui,v0.5.0,contrib,basic-auth,base,kflogin-deployment.yaml,,,,,,,
./contrib/dex-auth/dex-ldap/base/deployment.yaml,        image, osixia/openldap,,contrib,dex-auth,dex-ldap,base,deployment.yaml,,,,,,
./contrib/dex-auth/dex-ldap/base/deployment.yaml,        image, osixia/phpldapadmin,,contrib,dex-auth,dex-ldap,base,deployment.yaml,,,,,,
./contrib/dex-auth/keycloak-gatekeeper/base/deployment.yaml,        image, keycloak/keycloak-gatekeeper,5.0.0,contrib,dex-auth,keycloak-gatekeeper,base,deployment.yaml,,,,,,
./contrib/dex-auth/dex-authenticator/base/deployment.yaml,        image, "mintel/dex-k8s-authenticator,1.2.0",contrib,dex-auth,dex-authenticator,base,deployment.yaml,,,,,,
./contrib/seldon/seldon-core-operator/base/resources.yaml,        image, 'docker.io/seldonio/seldon-core-operator,1.9.0',contrib,seldon,seldon-core-operator,base,resources.yaml,,,,,,
./contrib/seldon/values.yaml,  image, seldonio/rclone-storage-initializer,1.9.0,contrib,seldon,values.yaml,,,,,,,,
./contrib/seldon/values.yaml,        image, seldonio/mlflowserver,,contrib,seldon,values.yaml,,,,,,,,
./contrib/seldon/values.yaml,        image, seldonio/sklearnserver,,contrib,seldon,values.yaml,,,,,,,,
./contrib/seldon/values.yaml,        image, seldonio/mlserver,,contrib,seldon,values.yaml,,,,,,,,
./contrib/seldon/values.yaml,        image, seldonio/tfserving-proxy,,contrib,seldon,values.yaml,,,,,,,,
./contrib/seldon/values.yaml,        image,  tensorflow/serving,,contrib,seldon,values.yaml,,,,,,,,
./contrib/seldon/values.yaml,        image, seldonio/xgboostserver,,contrib,seldon,values.yaml,,,,,,,,
./contrib/seldon/values.yaml,        image, seldonio/mlserver,,contrib,seldon,values.yaml,,,,,,,,
./contrib/seldon/values.yaml,        image, nvcr.io/nvidia/tritonserver,,contrib,seldon,values.yaml,,,,,,,,
./contrib/seldon/values.yaml,        image, seldonio/mlserver,,contrib,seldon,values.yaml,,,,,,,,
./contrib/seldon/values.yaml,  image, seldonio/alibiexplainer,1.9.0,contrib,seldon,values.yaml,,,,,,,,
./contrib/tektoncd/tektoncd-install/base/deployment.yaml,          image, $(tekton-registry)/$(controller),,contrib,tektoncd,tektoncd-install,base,deployment.yaml,,,,,,
./contrib/tektoncd/tektoncd-install/base/deployment.yaml,          image, $(tekton-registry)/$(webhook),,contrib,tektoncd,tektoncd-install,base,deployment.yaml,,,,,,
